"GEOID","HighSewer","MedSewer","LowSewer"
"'010730118052","YES","YES","YES"
"'010730118051","YES","YES","YES"
"'010730108063","YES","YES","YES"
"'010730128051","YES","YES","YES"
"'010730106041","YES","YES","YES"
"'010730123073","YES","YES","YES"
"'010730117071","YES","YES","YES"
"'010730106042","YES","YES","YES"
"'010730111085","YES","YES","YES"
"'010730143042","YES","YES","YES"
"'010730111173","YES","NO","NO"
"'010730106045","YES","YES","YES"
"'010890110242","YES","YES","YES"
"'010890107062","YES","NO","NO"
"'010890105031","YES","YES","NO"
"'010890028041","YES","YES","YES"
"'010890104052","NO","NO","NO"
"'010890112031","NO","NO","NO"
"'010890110283","YES","YES","YES"
"'010890107031","NO","NO","NO"
"'010890104031","NO","NO","NO"
"'010890110254","YES","YES","YES"
"'010890110241","YES","YES","YES"
"'010890102003","NO","NO","NO"
"'010890014041","YES","YES","YES"
"'010890009014","YES","YES","NO"
"'010890103031","YES","YES","YES"
"'010090507014","NO","NO","NO"
"'010090506043","NO","NO","NO"
"'011170306133","YES","YES","YES"
"'011170305032","YES","YES","YES"
"'011170302123","YES","YES","YES"
"'011170303501","YES","YES","YES"
"'011170303524","YES","YES","YES"
"'011170303522","YES","YES","YES"
"'011170303471","YES","YES","YES"
"'010570203005","NO","NO","NO"
"'011210117003","YES","YES","NO"
"'011210118001","YES","YES","YES"
"'011210109002","YES","YES","YES"
"'011091889002","YES","YES","YES"
"'011110005002","NO","NO","NO"
"'011130302003","YES","YES","YES"
"'010890004031","YES","YES","YES"
"'010890013012","YES","YES","YES"
"'010890110211","YES","YES","NO"
"'010890026003","YES","YES","YES"
"'010179546003","YES","YES","YES"
"'010179547003","NO","NO","NO"
"'010872320001","NO","NO","NO"
"'010810413002","YES","YES","YES"
"'010810406022","YES","YES","YES"
"'011130305001","YES","YES","YES"
"'010810409011","YES","YES","NO"
"'010810406021","YES","YES","YES"
"'010670304002","NO","NO","NO"
"'010990757002","NO","NO","NO"
"'010950309022","YES","NO","NO"
"'010950312001","YES","YES","YES"
