"GEOID","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'010970033021",0,0,0,0,0,0,2.676
"'010970051001",0,0,0,0,0,0,0.49
"'010439648001",0,0,0,0,426,161.571,2.637
"'010890104041",645,22.163,645,22.163,645,22.163,29.102
"'010730133002",0,0,0,0,0,0,3.021
"'010030109032",0,0,0,0,0,0,5.698
"'010730116003",253,38.364,253,38.364,253,38.364,6.595
"'010030101001",365,1.02,365,1.02,365,1.02,357.828
"'010770111021",0,0,0,0,0,0,2.281
"'010330207061",635,52.519,635,52.519,635,52.519,12.091
"'010890005021",0,0,0,0,0,0,1.137
"'010730100022",0,0,0,0,0,0,1.925
"'011270203012",971,83.313,971,83.313,971,83.313,11.655
"'010970069043",0,0,0,0,0,0,3.06
"'010810416003",0,0,0,0,0,0,6.115
"'010890106232",0,0,0,0,0,0,3.522
"'010499611001",0,0,660,131.87,660,131.87,5.005
"'010730111081",0,0,0,0,0,0,3.597
"'010950311004",0,0,0,0,0,0,1.729
"'010330206004",0,0,0,0,0,0,3.476
"'010970036021",0,0,0,0,0,0,0.702
"'011010005002",0,0,0,0,0,0,0.374
"'010830208052",0,0,478,23.52,478,23.52,20.323
"'010730027012",0,0,0,0,0,0,0.735
"'010010205011",0,0,0,0,0,0,4.353
"'011130305002",0,0,0,0,0,0,1.454
"'010150021013",0,0,0,0,0,0,0.688
"'010830210001",0,0,0,0,0,0,4.019
"'011239621003",0,0,0,0,0,0,2.243
"'010970065031",0,0,0,0,0,0,2.817
"'010810420053",0,0,0,0,0,0,1.926
"'010890105044",0,0,468,130.521,468,130.521,3.586
"'010730103021",0,0,0,0,0,0,0.408
"'010479570002",502,0.981,502,0.981,502,0.981,511.741
"'010890014032",0,0,0,0,0,0,4.436
"'010890103032",966,29.721,966,29.721,966,29.721,32.502
"'010030111042",0,0,0,0,977,96.638,10.11
"'010730144101",0,0,0,0,0,0,4.649
"'010890029122",0,0,0,0,443,141.78,3.125
"'010730144043",0,0,0,0,0,0,0.97
"'010890106302",0,0,0,0,0,0,3.835
"'011010023001",0,0,0,0,0,0,0.483
"'010730111133",0,0,0,0,0,0,1.079
"'011010054104",0,0,0,0,0,0,0.534
"'010970037081",0,0,0,0,0,0,3.344
"'011250124033",0,0,0,0,0,0,3.019
"'010830201012",506,23.803,506,23.803,506,23.803,21.258
"'010479562021",642,4.001,642,4.001,642,4.001,160.465
"'010030112023",0,0,0,0,0,0,2.384
"'010730038031",0,0,0,0,0,0,0.875
"'010310109001",0,0,734,80.239,734,80.239,9.148
"'010890005011",0,0,0,0,0,0,2.312
"'010730035002",0,0,0,0,361,196.519,1.837
"'010730109005",0,0,0,0,0,0,0.506
"'010499613003",0,0,0,0,0,0,0.757
"'010970002001",0,0,0,0,0,0,1.043
"'010330203003",0,0,0,0,0,0,2.259
"'011210109001",0,0,0,0,0,0,2.719
"'011010006002",0,0,0,0,0,0,1.06
"'010550007002",0,0,0,0,0,0,0.405
"'010890023003",0,0,0,0,0,0,0.492
"'011010028002",0,0,0,0,0,0,0.798
"'011010056062",0,0,0,0,0,0,0.931
"'010890105032",0,0,0,0,485,60.502,8.016
"'010499609004",0,0,0,0,297,54.53,5.447
"'010970036063",0,0,0,0,0,0,0.701
"'011030051073",0,0,0,0,865,126.125,6.858
"'010770111023",0,0,0,0,0,0,2.702
"'010030107112",0,0,0,0,0,0,1.677
"'010030109072",0,0,465,43.138,465,43.138,10.779
"'010030114192",0,0,0,0,0,0,2.189
"'010030107062",0,0,0,0,0,0,5.839
"'010030114093",609,40.122,609,40.122,609,40.122,15.179
"'010030114193",0,0,0,0,0,0,2.843
"'010030107072",0,0,0,0,0,0,2.554
"'010030114141",0,0,0,0,0,0,8.205
"'011130304032",0,0,0,0,0,0,0.842
"'011130309072",267,18.686,267,18.686,267,18.686,14.289
"'011130309041",0,0,0,0,0,0,2.867
"'010650404012",519,25.239,519,25.239,519,25.239,20.563
"'010439649011",0,0,0,0,0,0,1.5
"'010439650024",0,0,0,0,0,0,0.638
"'010439650021",0,0,0,0,0,0,0.995
"'011270203023",0,0,0,0,0,0,3.722
"'011250123071",0,0,0,0,0,0,2.442
"'011250108022",0,0,0,0,0,0,3.094
"'011250106031",686,64.363,686,64.363,686,64.363,10.658
"'011250102044",0,0,0,0,0,0,1.916
"'011250121022",0,0,0,0,0,0,0.637
"'011250124082",0,0,0,0,0,0,1.321
"'011250116001",0,0,0,0,0,0,0.668
"'011091891013",0,0,0,0,0,0,1.713
"'010070100101",387,26.364,387,26.364,387,26.364,14.679
"'010210601043",0,0,0,0,0,0,2.164
"'010259576042",0,0,485,83.205,485,83.205,5.829
"'010479573011",0,0,257,101.992,257,101.992,2.52
"'010919730024",384,1.475,384,1.475,384,1.475,260.392
"'011070504021",840,1.761,840,1.761,840,1.761,476.899
"'010990759023",278,23.088,278,23.088,278,23.088,12.041
"'010310112063",0,0,0,0,0,0,2.346
"'010690402053",0,0,0,0,0,0,3.582
"'010010208052",715,26.29,715,26.29,715,26.29,27.196
"'010510310012",0,0,394,44.002,394,44.002,8.954
"'010499603011",411,19.193,411,19.193,411,19.193,21.414
"'010330207051",752,18.495,752,18.495,752,18.495,40.66
"'010330207062",423,31.834,423,31.834,423,31.834,13.288
"'010330207034",0,0,0,0,0,0,0.637
"'010810411011",0,0,620,67.316,620,67.316,9.21
"'010810419023",467,46.715,467,46.715,467,46.715,9.997
"'010810418021",157,29.531,157,29.531,157,29.531,5.316
"'010810420054",0,0,0,0,0,0,3.534
"'010810417032",379,37.28,379,37.28,379,37.28,10.166
"'010810420033",619,46.719,619,46.719,619,46.719,13.249
"'010810403003",0,0,0,0,0,0,0.296
"'010810404011",0,0,0,0,0,0,0.382
"'010810408011",0,0,0,0,0,0,0.504
"'010810411041",0,0,0,0,0,0,3.055
"'011030009004",0,0,0,0,0,0,0.708
"'011030057032",600,26.366,600,26.366,600,26.366,22.757
"'011030053033",0,0,0,0,0,0,1.142
"'011030053034",0,0,0,0,0,0,1.03
"'010830208031",1117,51.668,1117,51.668,1117,51.668,21.619
"'010830202013",644,46.547,644,46.547,644,46.547,13.835
"'010830212011",0,0,0,0,0,0,6.24
"'010179539002",229,31.76,229,31.76,229,31.76,7.21
"'010150025032",654,60.406,654,60.406,654,60.406,10.827
"'010179548003",0,0,0,0,0,0,0.897
"'010150018022",0,0,0,0,0,0,2.053
"'010150011032",0,0,0,0,0,0,7.253
"'010150015011",0,0,0,0,422,77.1,5.473
