"huc12","name","tohuc","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'050100010309","Annin Creek-Allegheny River","'050100010311",1140,7.771,1140,7.771,1140,7.771,146.706
"'050100010601","East Branch Tunungwant Creek","'050100010604",1347,8.959,1347,8.959,1347,8.959,150.346
"'020501040701","Gaffers Creek-Elk Run","'020501040702",380,5.302,380,5.302,380,5.302,71.668
"'020501040608","Lower Crooked Creek","'020501040907",187,3.635,187,3.635,187,3.635,51.446
"'180102010203","Lost Creek","'180102010208",0,0,0,0,0,0,50.702
"'020501040702","Bailey Creek-Mill Creek","'020501040703",381,4.857,381,4.857,381,4.857,78.45
"'020501040703","Painter Run-Mill Creek","'020501040907",160,3.515,160,3.515,160,3.515,45.519
"'111401050106","Frazier Creek","'111401050107",77,1.543,77,1.543,77,1.543,49.905
"'101402040801","Headwaters Dog Ear Creek","'101402040803",94,0.67,94,0.67,94,0.67,140.217
"'020501040803","Elklick Run-Mill Creek","'020501040805",267,7.784,267,7.784,267,7.784,34.302
"'101402040704","Lower Mission Creek","'101402040705",16,0.228,16,0.228,16,0.228,70.211
"'101402040805","Town of Ideal-Dog Ear Creek","'101402040807",27,0.414,27,0.414,27,0.414,65.161
"'101402040802","Mud Creek","'101402040803",43,0.754,43,0.754,43,0.754,57.01
"'111203030106","George Creek-Trail Creek","'111203030107",120,1.534,120,1.534,120,1.534,78.241
"'111401050602","Upper Tenmile Creek","'111401050603",49,0.712,49,0.712,49,0.712,68.788
"'111203030108","Spring Creek","'111203030110",129,1.368,129,1.368,129,1.368,94.287
"'111401050507","Middle Cedar Creek","'111401050508",196,2.359,196,2.359,196,2.359,83.099
"'111401050607","Judge Cox Branch-Kiamichi River","'111401050608",276,4.556,276,4.556,276,4.556,60.581
"'111401050508","Lower Cedar Creek","'111401050703",77,1.232,77,1.232,77,1.232,62.509
"'111401050601","Clear Creek","'111401050603",35,0.758,35,0.758,35,0.758,46.193
"'030601060204","Little Horse Creek","'030601060205",3489,29.199,4022,33.659,4040,33.81,119.491
"'050100030606","Oil Creek-Allegheny River","'050100030905",961,9.061,1000,9.429,1000,9.429,106.058
"'030601030512","Middle Little River-Savannah River","'030601030513",232,2.575,232,2.575,232,2.575,90.084
"'030601030510","Upper Calhoun Creek","'030601030511",578,8.102,578,8.102,578,8.102,71.338
"'030601030511","Lower Calhoun Creek","'030601030512",364,3.815,364,3.815,364,3.815,95.413
"'030601030513","Lower Little River-Savannah River","'030601030710",152,2.147,152,2.147,152,2.147,70.804
"'030601030601","Upper Long Cane Creek","'030601030606",506,7.379,506,7.379,506,7.379,68.576
"'030601030602","Job Creek","'030601030606",256,6.835,256,6.835,256,6.835,37.454
"'030601030603","Johns Creek","'030601030606",423,11.374,423,11.374,423,11.374,37.189
"'030601030604","Mccord Creek","'030601030606",304,11.808,304,11.808,304,11.808,25.746
"'030601030605","Double Branch-Long Cane Creek","'030601030609",2032,42.468,2032,42.468,2712,56.68,47.847
"'030601030606","Middle Long Cane Creek","'030601030609",321,4.632,321,4.632,321,4.632,69.3
"'030601030607","Big Curltail Creek","'030601030609",1766,20.832,2291,27.025,2732,32.228,84.772
"'111401010405","Brown Creek-Red River","'111401010407",513,3.227,513,3.227,513,3.227,158.95
"'111003020409","Yeager Creek-Wewoka Creek","'111003020504",155,2.193,155,2.193,155,2.193,70.672
"'111401010404","Cottonwood Creek-Red River","'111401010405",771,4.681,771,4.681,771,4.681,164.697
"'111401050107","Buzzard Creek","'111401050108",179,3.488,179,3.488,179,3.488,51.315
"'111401010407","Mud Branch-Red River","'111401010801",339,2.214,339,2.214,339,2.214,153.132
"'050100011104","Spring Creek","'050100011106",442,4.374,442,4.374,442,4.374,101.043
"'030601010405","Rices Creek","'030601010407",1767,43.041,2399,58.436,2403,58.533,41.053
"'111003020105","Crooked Oak Creek-North Canadian River","'111003020107",776,9.163,918,10.84,918,10.84,84.688
"'020501040804","Jemison Creek","'020501040805",229,5.424,229,5.424,229,5.424,42.223
"'020501040805","Upper Cowanesque River","'020501040808",585,5.247,585,5.247,585,5.247,111.494
"'030501090901","Upper Little River-Saluda River","'030501090905",1068,13.598,1068,13.598,2200,28.01,78.543
"'030501090808","Lower Lake Greenwood-Saluda River","'030501091202",2563,23.784,2563,23.784,2563,23.784,107.761
"'030501090902","North Creek","'030501090905",697,16.151,727,16.847,727,16.847,43.154
"'110902040504","Little Wildhorse Creek","'110902040505",90,1.458,90,1.458,90,1.458,61.731
"'030501090903","Beaverdam Creek-Little River","'030501090905",256,4.843,256,4.843,256,4.843,52.855
"'110902040501","Hominy Creek","'110902040506",128,1.202,128,1.202,128,1.202,106.445
"'101402040806","Owl Creek","'101402040807",62,0.416,62,0.416,62,0.416,149.1
"'101402040803","City of Winner-Dog Ear Creek","'101402040805",1479,21.194,1479,21.194,1479,21.194,69.785
"'101402040804","Hollow Creek","'101402040805",69,0.668,69,0.668,69,0.668,103.232
"'101402040807","Outlet Dog Ear Creek","'101402041002",17,0.204,17,0.204,17,0.204,83.21
"'111303030405","Lower Black Bear Creek","'111303030407",132,1.141,132,1.141,132,1.141,115.659
"'111401050606","Coffee Creek","'111401050608",953,13.639,953,13.639,953,13.639,69.871
"'111203030107","111203030107-Trail Creek","'111203030108",52,0.892,52,0.892,52,0.892,58.29
"'111401050604","Lower Tenmile Creek","'111401050607",253,2.682,253,2.682,253,2.682,94.343
"'111303030406","Town of Velma-Wildhorse Creek","'111303030407",617,4.778,617,4.778,617,4.778,129.13
"'111401050605","Dumpling Creek","'111401050606",459,5.065,459,5.065,459,5.065,90.628
"'050100030803","South Sandy Creek","'050100030804",312,3.894,312,3.894,312,3.894,80.133
"'050100030902","Stewart Run-Allegheny River","'050100030905",727,5.909,727,5.909,727,5.909,123.024
"'050100030905","Horse Creek-Allegheny River","'050100030907",1844,14.329,2445,18.999,2445,18.999,128.69
"'050100030906","Scrubgrass Creek","'050100030907",793,7.698,793,7.698,793,7.698,103.011
"'111401010606","Lower Sanders Creek","'111401010807",266,7.261,266,7.261,266,7.261,36.633
"'030601030709","Long Cane Creek Fork of Thurmond Lake","'030601030711",43,1.19,43,1.19,43,1.19,36.132
"'030601030608","Reedy Branch","'030601030609",188,2.82,188,2.82,188,2.82,66.669
"'030601030609","Lower Long Cane Creek","'030601030709",89,1.087,89,1.087,89,1.087,81.908
"'030601030708","Bold Branch","'030601030709",53,1.492,53,1.492,53,1.492,35.519
"'030601030710","Upper Little River Fork of Thurmond Lake","'030601030711",104,2.541,104,2.541,104,2.541,40.934
"'030601030711","Lower Little River Fork of Thurmond Lake","'030601030713",1555,19.721,1555,19.721,1560,19.784,78.85
"'030601060201","Headwaters Horse Creek-Savannah River","'030601060202",928,10.562,928,10.562,928,10.562,87.864
"'030601060203","Middle Horse Creek-Savannah River","'030601060205",604,7.786,2493,32.136,4982,64.221,77.576
"'030601060205","Lower Horse Creek-Savannah River","'030601060607",1032,15.331,2279,33.855,2368,35.177,67.316
"'030601060401","Town Creek-Hollow Creek","'030601060403",2646,26.775,3599,36.419,3673,37.168,98.823
"'030601060502","Upper Upper Three Runs","'030601060505",867,9.837,867,9.837,867,9.837,88.134
"'030601060503","Tinker Creek-Upper Three Runs","'030601060505",133,0.976,133,0.976,133,0.976,136.259
"'101303050509","Smith Creek-Rabbit Creek","'101303050701",7,0.155,7,0.155,7,0.155,45.26
"'030501100104","Lower Congaree Creek","'030501100303",1201,11.792,1203,11.811,2333,22.906,101.85
"'030501100201","Jackson Creek-Gills Creek","'030501100203",1,0.02,234,4.685,650,13.015,49.944
"'111401010801","Oberlin Lake-Red River","'111401010804",72,1.061,72,1.061,72,1.061,67.872
"'111003020107","Silver Creek-North Canadian River","'111003020201",3165,21.846,3328,22.971,4014,27.706,144.876
"'111401010805","Palmer Lake-Red River","'111401010806",174,1.428,174,1.428,174,1.428,121.824
"'050100011106","Blue Eye Run-Brokenstraw Creek","'050100011108",511,5.516,511,5.516,511,5.516,92.647
"'101303030805","Little Soldier Creek","'101303030806",13,0.182,13,0.182,13,0.182,71.376
"'030601010406","Golden Creek","'030601010408",1145,27.623,1761,42.484,2269,54.739,41.451
"'111303030203","Middle Rush Creek","'111303030204",167,1.836,167,1.836,167,1.836,90.981
"'030601010407","Upper Twelvemile Creek-Keowee River","'030601010408",1401,21.179,1545,23.355,1545,23.355,66.152
"'030601010408","Lower Twelvemile Creek-Keowee River","'030601010803",2600,30.86,2600,30.86,2600,30.86,84.252
"'020501040902","Johnson Creek","'020501040904",345,7.666,345,7.666,345,7.666,45.002
"'101303030806","Lower Dirt Lodge Creek","'101303031003",4,0.122,4,0.122,4,0.122,32.825
"'101303050608","Outlet Antelope Creek","'101303050701",5,0.1,5,0.1,5,0.1,50.008
"'101303050701","Pickles Creek-Rabbit Creek","'101303050704",10,0.156,10,0.156,10,0.156,63.96
"'101303030902","Isabel Lake","'101303030903",0,0,0,0,0,0,63.731
"'101303030904","Lake Walton","'101303030905",2,0.045,2,0.045,2,0.045,44.469
"'101303030906","Standing Cloud Creek","'101303030907",12,0.218,12,0.218,12,0.218,55.067
"'101303050803","Mud Creek-Moreau River","'101303050806",14,0.283,14,0.283,14,0.283,49.488
"'101303050804","Big Cedar Creek","'101303050806",15,0.235,15,0.235,15,0.235,63.713
"'101303030907","Harry Bickel Dam-Firesteel Creek","'101303030908",18,0.202,18,0.202,18,0.202,88.957
"'101303030908","Outlet Firesteel Creek","'101303031004",10,0.107,10,0.107,10,0.107,93.481
"'101303031001","Louse Creek","'101303031002",5,0.08,5,0.08,5,0.08,62.132
"'101303031003","Soldier Creek-Grand River","'101303031004",12,0.137,12,0.137,12,0.137,87.565
"'101303031005","101303031005-Grand River","'101303031403",2,0.039,2,0.039,2,0.039,51.199
"'101303031103","Lower Hump Creek","'101303031403",13,0.166,13,0.166,13,0.166,78.332
"'020501040904","Upper Tioga River","'020501040907",1079,7.798,1079,7.798,1377,9.951,138.377
"'111003020201","Horseshoe Lake-North Canadian River","'111003020204",3093,25.886,3683,30.824,3738,31.284,119.485
"'111303030202","Upper Rush Creek","'111303030203",149,1.265,149,1.265,149,1.265,117.742
"'020501040901","Headwaters Tioga River","'020501040904",364,3.651,364,3.651,364,3.651,99.699
"'020501040903","Elk Run","'020501040904",518,7.696,518,7.696,518,7.696,67.312
"'030501090907","Mudlick Creek","'030501090908",446,3.34,446,3.34,446,3.34,133.521
"'030501090904","Simmons Creek","'030501090905",93,2.858,93,2.858,93,2.858,32.537
"'030501090905","Middle Little River-Saluda River","'030501090908",1146,10.458,1146,10.458,1592,14.529,109.576
"'111303030501","Upper Salt Creek","'111303030502",211,1.906,211,1.906,211,1.906,110.682
"'030501090906","Garrison Creek","'030501090908",119,2.455,119,2.455,119,2.455,48.465
"'030501090908","Lower Little River-Saluda River","'030501091207",259,2.664,259,2.664,259,2.664,97.212
"'101402040901","Sand Creek","'101402040903",110,1.286,110,1.286,110,1.286,85.544
"'101402040902","Headwaters Thunder Creek","'101402040903",100,0.803,100,0.803,100,0.803,124.518
"'111401010809","Town of Frogville-Red River","'111401060108",59,1.001,59,1.001,59,1.001,58.959
"'101402040903","Bradleyon Butte-Thunder Creek","'101402040905",54,0.437,54,0.437,54,0.437,123.435
"'111203030104","111203030104-Elk Creek","'111203030109",179,1.522,179,1.522,187,1.59,117.635
"'101402040905","Outlet Thunder Creek","'101402041003",34,0.302,34,0.302,34,0.302,112.527
"'111203030105","City of Retrop","'111203030109",75,1.156,75,1.156,75,1.156,64.86
"'101402041001","Mill Iron Creek","'101402041002",23,0.214,23,0.214,23,0.214,107.722
"'160402010107","Tenmile Creek","'160402010109",3,0.027,3,0.027,3,0.027,111.186
"'111003020202","North Deer Creek","'111003020204",3520,29.208,3544,29.408,3544,29.408,120.513
"'050100030908","Little Scrubgrass Creek","'050100030909",687,10.239,687,10.239,687,10.239,67.095
"'111003020203","South Deer Creek","'111003020206",2111,18.203,2111,18.203,2111,18.203,115.968
"'050100040304","Wheeler Creek","'050100040901",1064,7.023,1064,7.023,1064,7.023,151.495
"'101303050605","Dog Creek","'101303050606",9,0.232,9,0.232,9,0.232,38.738
"'101303050602","Flat Butte Creek","'101303050604",6,0.112,6,0.112,6,0.112,53.619
"'101303050607","Rabbit Butte-Antelope Creek","'101303050608",15,0.177,15,0.177,15,0.177,84.845
"'101303050702","Indian Creek","'101303050704",2,0.045,2,0.045,2,0.045,44.074
"'101303050703","Brushy Creek","'101303050704",7,0.126,7,0.126,7,0.126,55.697
"'101303050704","Sunrise Butte-Rabbit Creek","'101303050705",12,0.197,12,0.197,12,0.197,60.854
"'101303050705","Wolf Springs Creek-Rabbit Creek","'101303050706",12,0.221,12,0.221,12,0.221,54.415
"'101303050706","Porcupine Creek-Rabbit Creek","'101303050812",7,0.153,7,0.153,7,0.153,45.759
"'101303050805","Beck Lake-Brushy Creek","'101303050806",5,0.119,5,0.119,5,0.119,41.904
"'101303050806","Little Cedar Creek-Moreau River","'101303050807",14,0.164,14,0.164,14,0.164,85.273
"'101303050807","Town of Bixby-Moreau River","'101303050810",1,0.015,1,0.015,1,0.015,65.547
"'111303030503","Massey Creek-Wildhorse Creek","'111303030506",464,2.879,464,2.879,464,2.879,161.141
"'111303030407","Sandy Bear Creek-Wildhorse Creek","'111303030503",388,2.572,388,2.572,388,2.572,150.874
"'111303030502","Lower Salt Creek","'111303030506",282,2.929,282,2.929,282,2.929,96.264
"'030501091001","Upper Clouds Creek","'030501091003",835,6.756,835,6.756,835,6.756,123.594
"'050100011207","Browns Run","'050100011209",308,4.942,308,4.942,308,4.942,62.318
"'030501091002","Beaverdam Creek-Clouds Creek","'030501091003",314,9.687,314,9.687,314,9.687,32.415
"'020501060701","Middle Branch Wyalusing Creek","'020501060704",452,6.312,452,6.312,452,6.312,71.605
"'040101011102","Hockamin Creek","'040101011103",6,0.144,6,0.144,6,0.144,41.638
"'111401010807","Horse Creek-Red River","'111401010808",1315,10.075,1322,10.129,1322,10.129,130.517
"'111401010808","Carney Creek-Red River","'111401010809",172,1.382,172,1.382,172,1.382,124.45
"'050100011108","Irvine Run-Brokenstraw Creek","'050100011209",675,6.129,675,6.129,675,6.129,110.131
"'050100011206","Sugar Run-Allegheny River","'050100011208",60,0.533,60,0.533,60,0.533,112.639
"'050100011209","Morse Run-Allegheny River","'050100030101",1393,10.205,1727,12.651,1727,12.651,136.507
"'050301010902","South Fork Cross Creek-Cross Creek","'050301011109",2294,13.954,2585,15.724,2585,15.724,164.399
"'101303031204","Lower Iron Dog Creek","'101303031205",6,0.121,6,0.121,6,0.121,49.466
"'101303031205","Lower Stink Creek","'101303031404",8,0.173,8,0.173,8,0.173,46.327
"'101303031302","Troy Lee Hunt Dam-Rock Creek","'101303031305",16,0.265,16,0.265,16,0.265,60.421
"'101303031402","Lower White Shirt Creek","'101303031403",6,0.108,6,0.108,6,0.108,55.566
"'101303031406","Plum Creek","'101303031407",11,0.123,11,0.123,11,0.123,89.383
"'020502050604","Mill Run-Pine Creek","'020502050606",316,2.532,316,2.532,316,2.532,124.818
"'111303030204","Lower Rush Creek","'111303030205",397,2.336,397,2.336,397,2.336,169.918
"'020401030504","Ariel Creek","'020401030505",1456,34.892,3610,86.511,3610,86.511,41.729
"'111303030205","Outlet Rush Creek","'111303030803",1327,9.317,1648,11.571,2054,14.422,142.423
"'111303030301","Upper Finn Creek","'111303030302",358,4.204,358,4.204,358,4.204,85.16
"'020401030505","Lake Wallenpaupack-Wallenpaupack Creek","'020401030603",5505,30.749,6280,35.078,7744,43.255,179.032
"'020502050602","Cedar Run","'020502050604",22,0.225,22,0.225,22,0.225,97.728
"'030101020805","Little Beaver Pond Creek-Grassy Creek","'030101020806",336,6.896,336,6.896,336,6.896,48.721
"'020502050603","Slate Run","'020502050604",28,0.24,28,0.24,28,0.24,116.703
"'030501091101","Mine Creek","'030501091104",586,5.003,586,5.003,586,5.003,117.125
"'030501091003","Lower Clouds Creek","'030501091105",1658,12.252,2031,15.008,2031,15.008,135.33
"'041800000101","Isle Royale","'041800000200",1211,0.705,1211,0.705,1211,0.705,1717.772
"'040101011105","Batpism River","'041800000200",242,3.491,242,3.491,242,3.491,69.316
"'040101011202","City of Grand Marais-Frontal Lake Superior","'041800000200",594,10.279,594,10.279,594,10.279,57.789
"'090300010304","Gunflint Lake","'090300010305",161,1.539,161,1.539,161,1.539,104.592
"'040101020104","Lower Beaver River","'041800000200",72,0.854,72,0.854,72,0.854,84.341
"'030101020806","Beaver Pond Creek-Grassy Creek","'030101020903",395,8.345,395,8.345,395,8.345,47.335
"'030102051108","Northwest River-Tull Bay","'030102051207",632,13.292,632,13.292,632,13.292,47.547
"'030102040702","Quarrel Creek-Fountains Creek","'030102040703",230,2.809,230,2.809,230,2.809,81.875
"'030102011203","Town of Courtland-Nottoway River","'030102011206",554,11.582,554,11.582,554,11.582,47.835
"'030102040703","Cattail Creek-Fountains Creek","'030102040706",565,4.411,565,4.411,565,4.411,128.101
"'030102020505","City of Franklin-Blackwater River","'030102030202",478,4.733,478,4.733,613,6.069,100.997
"'030102040706","Mill Swamp-Fountains Creek","'030102040902",604,4.108,604,4.108,604,4.108,147.018
"'030102040905","Town of Barretts Crossroads-Meherrin River","'030102040908",302,2.735,302,2.735,302,2.735,110.426
"'030102040605","Big Branch-Meherrin River","'030102040902",177,1.733,177,1.733,177,1.733,102.15
"'040101020402","Talmadge Creek-Frontal Lake Superior","'041800000200",828,12.651,828,12.651,828,12.651,65.449
"'040101020303","Lower Knife River","'041800000200",398,5.043,398,5.043,398,5.043,78.914
"'040101020202","Gooseberry River","'041800000200",100,0.813,100,0.813,100,0.813,122.97
"'040101020103","East Branch Beaver River","'040101020104",123,0.944,123,0.944,123,0.944,130.337
"'040101020404","Lester River","'041800000200",820,8.676,820,8.676,820,8.676,94.515
"'041800000102","Nodaway Point-Frontal Lake Superior","'041800000200",4141,3.384,4234,3.46,4714,3.852,1223.859
"'040101020401","French River","'041800000200",245,5.069,245,5.069,245,5.069,48.336
"'040101020602","Encampment River","'041800000200",100,2.351,100,2.351,100,2.351,42.544
"'040101020405","City of Duluth-Frontal Lake Superior","'041800000200",1306,23.726,1781,32.356,2057,37.37,55.044
"'090300010301","North Lake","'090300010304",0,0,0,0,0,0,87.582
"'040101011301","City of Lutsen-Frontal Lake Superior","'041800000200",172,2.646,172,2.646,172,2.646,65.015
"'040101010301","Town of Grand Portage-Frontal Lake Superior","'041800000200",30,0.341,30,0.341,30,0.341,88.057
"'040101010304","Carlson Creek-Frontal Lake Superior","'041800000200",118,2.175,118,2.175,118,2.175,54.248
"'040101011302","City of Tofte-Frontal Lake Superior","'041800000200",141,2.29,141,2.29,141,2.29,61.583
"'040101011004","Manitou River","'041800000200",36,0.551,36,0.551,36,0.551,65.287
"'040101010503","Devil Track River","'041800000200",394,4.848,394,4.848,394,4.848,81.275
"'040101020603","Silver Creek","'041800000200",165,3.249,165,3.249,165,3.249,50.786
"'040101010604","Lower Cascade River","'041800000200",30,0.33,30,0.33,30,0.33,90.868
"'040101020406","Sucker River","'041800000200",164,1.678,164,1.678,164,1.678,97.759
"'040101010409","Brule River","'041800000200",33,0.429,33,0.429,33,0.429,76.96
"'040101010705","Poplar River","'041800000200",66,0.61,66,0.61,66,0.61,108.175
"'040101011305","Little Marais River-Frontal Lake Superior","'041800000200",183,2.589,183,2.589,183,2.589,70.68
"'040101020605","City of Two Harbors-Frontal Lake Superior","'041800000200",685,16.463,1048,25.187,1743,41.89,41.609
"'040101020604","Stewart River","'041800000200",246,2.954,246,2.954,246,2.954,83.264
"'040101020502","Split Rock River","'041800000200",36,0.318,36,0.318,36,0.318,113.291
"'040101020601","City of Castle Danger-Frontal Lake Superior","'041800000200",102,2.612,102,2.612,102,2.612,39.047
"'040101020503","Nelsens Creek-Frontal Lake Superior","'041800000200",137,2.991,137,2.991,137,2.991,45.81
"'040101020501","City of Silver Bay-Frontal Lake Superior","'041800000200",653,19.945,653,19.945,653,19.945,32.741
"'040101010206","Swamp River","'040101010207",68,0.529,68,0.529,68,0.529,128.501
"'040101010101","Rose Lake-Arrow River","'040101010103",95,0.802,95,0.802,95,0.802,118.433
"'040101010208","Outlet Pigeon River","'041800000200",8,0.118,8,0.118,8,0.118,67.697
"'040101010205","Portage Brook","'040101010207",8,0.188,8,0.188,8,0.188,42.445
"'040101010207","Prout Lake-Pigeon River","'040101010208",0,0,0,0,0,0,106.47
"'040101010202","Royal River","'040101010203",47,0.763,47,0.763,47,0.763,61.6
"'040101010203","Fowl Lake-Pigeon River","'040101010207",9,0.085,9,0.085,9,0.085,106.271
"'040101010201","McFarland Lake","'040101010202",82,0.661,82,0.661,82,0.661,123.976
"'040101010408","Greenwood River","'040101010409",57,0.831,57,0.831,57,0.831,68.587
"'040101010302","Reservation River","'041800000200",1,0.023,1,0.023,1,0.023,44.314
"'040101010303","Flute Reed River","'041800000200",69,1.722,69,1.722,69,1.722,40.071
"'040101010904","Cross River","'041800000200",20,0.406,20,0.406,20,0.406,49.313
"'101402041004","Davis Creek","'101402041005",22,0.265,22,0.265,22,0.265,82.88
"'040101011304","Caribou River","'041800000200",16,0.267,16,0.267,16,0.267,59.837
"'160402010202","Payne Creek","'160402010204",1,0.022,1,0.022,1,0.022,46.208
"'040101010805","Lower Temperance River","'041800000200",0,0,0,0,0,0,99.514
"'040101011101","Crown Creek","'040101011103",8,0.107,8,0.107,8,0.107,74.631
"'160402010205","Mine Creek","'160402010207",1,0.014,1,0.014,1,0.014,69.184
"'030101030404","Lower South Mayo River","'030101030408",798,7.756,798,7.756,798,7.756,102.892
"'040101011303","Two Island River","'041800000200",20,0.404,20,0.404,20,0.404,49.475
"'020501060801","Riley Creek","'020501060802",366,7.766,366,7.766,366,7.766,47.129
"'040101010403","Swamper Creek-Brule River","'040101010407",2,0.024,2,0.024,2,0.024,82.131
"'030101030906","City of Danville-Dan River","'030101030907",495,10.044,1257,25.507,1257,25.507,49.281
"'030101030401","Upper South Mayo River","'030101030404",1161,7.67,1161,7.67,1161,7.67,151.376
"'030101031003","Lower Sandy River","'030101030907",2887,20.546,3520,25.05,3520,25.05,140.516
"'030101030907","Sandy Creek-Dan River","'030101040102",1733,20.71,2557,30.558,2557,30.558,83.678
"'030101010301","Sawmill Hollow-Roanoke River","'030101010404",2508,15.293,3317,20.227,3317,20.227,163.993
"'030101031002","Upper Sandy River","'030101031003",884,8.779,884,8.779,884,8.779,100.7
"'160402010206","Cottonwood Creek","'160402010207",0,0,0,0,0,0,93.262
"'101402041005","Horseshoe Bend-White River","'101402041202",26,0.298,26,0.298,26,0.298,87.324
"'110902040702","Upper Longtown Creek","'110902040703",370,4.06,370,4.06,370,4.06,91.13
"'111203030201","Upper Little Elk Creek","'111203030202",616,4.08,616,4.08,616,4.08,150.964
"'050100040601","West Branch Cussewago Creek-Cussewago Creek","'050100040603",753,7.032,753,7.032,753,7.032,107.084
"'050100040701","Conneaut Lake-Conneaut Outlet","'050100040702",1820,26.08,1820,26.08,2962,42.444,69.786
"'101303050811","Swan Draw-Moreau River","'101303050812",5,0.06,5,0.06,5,0.06,83.805
"'101303050808","Cabin Creek","'101303050810",9,0.151,9,0.151,9,0.151,59.736
"'101303050809","Starve Out Creek","'101303050810",7,0.157,7,0.157,7,0.157,44.556
"'101303060101","Headwaters Flint Rock Creek","'101303060102",10,0.122,10,0.122,10,0.122,82.243
"'101303060103","Arrowhead Butte-Flint Rock Creek","'101303060106",8,0.127,8,0.127,8,0.127,63.203
"'101303060104","Upper South Fork Flint Rock Creek","'101303060105",52,0.887,52,0.887,52,0.887,58.624
"'101303060105","Lower South Fork Flint Rock Creek","'101303060106",0,0,0,0,0,0,45.463
"'101303060106","Outlet Flint Rock Creek","'101303060204",0,0,0,0,0,0,83.772
"'101303060201","Mud Creek-Moreau River","'101303060203",19,0.196,19,0.196,19,0.196,96.977
"'101303060202","Berry Creek","'101303060203",6,0.163,6,0.163,6,0.163,36.76
"'101303060203","Badlands Creek-Moreau River","'101303060204",8,0.091,8,0.091,8,0.091,87.433
"'101303060204","Sand Draw-Moreau River","'101303060207",0,0,0,0,0,0,61.123
"'101303060205","Knife Creek","'101303060207",0,0,0,0,0,0,54.383
"'101303060206","Cottonwood Creek","'101303060207",0,0,0,0,0,0,71.016
"'101303060301","South Branch Thunder Butte Creek","'101303060302",78,0.878,78,0.878,78,0.878,88.825
"'020501060803","Thomas Creek-Meshoppen Creek","'020501060804",1317,9.647,1317,9.647,1317,9.647,136.518
"'111303030504","Rock Creek","'111303030506",714,5.77,714,5.77,714,5.77,123.743
"'020501060702","Gaylord Creek","'020501060703",230,4.782,230,4.782,230,4.782,48.101
"'020501060703","North Branch Wyalusing Creek","'020501060704",335,4.624,335,4.624,335,4.624,72.443
"'020501060704","Rockwell Creek-Wyalusing Creek","'020501060705",676,7.701,676,7.701,676,7.701,87.781
"'020501060705","Cold Creek-Wyalusing Creek","'020501061404",795,7.276,795,7.276,795,7.276,109.259
"'020501060802","West Branch Meshoppen Creek","'020501060804",524,8.231,524,8.231,524,8.231,63.66
"'111401020209","Red Branch-Blue River","'111401010801",123,1.457,123,1.457,123,1.457,84.425
"'111401060108","Doaksville Creek-Red River","'111401060304",195,1.345,195,1.345,195,1.345,144.95
"'050301011108","Harmon Creek","'050301011109",1507,15.209,1512,15.259,1539,15.532,99.086
"'050301011104","Tomlinson Run","'050301011106",1418,19.612,1434,19.834,1434,19.834,72.301
"'050301011105","Kings Creek","'050301011106",1974,15.369,2297,17.883,2621,20.406,128.443
"'050301060104","Castleman Run","'050301060105",279,6.318,279,6.318,279,6.318,44.161
"'020502050605","Trout Run","'020502050606",25,0.578,25,0.578,25,0.578,43.218
"'050301060105","Sugarcamp Run-Buffalo Creek","'050301060106",822,8.383,823,8.393,823,8.393,98.058
"'030501091204","Upper Bush River","'030501091206",1142,8.687,1523,11.585,1983,15.084,131.463
"'050301060403","Enlow Fork","'050301060601",427,5.134,427,5.134,427,5.134,83.172
"'050301060502","South Fork Dunkard Fork","'050301060503",286,4.088,286,4.088,286,4.088,69.953
"'160402050403","Upper Rincon Creek","'160402050404",0,0,0,0,0,0,55.956
"'050301060602","Middle Wheeling Creek","'050301060603",1075,12.064,1075,12.064,1075,12.064,89.112
"'101303031504","101303031504","'101303031505",6,0.095,6,0.095,6,0.095,63.111
"'101303031601","Spring Lake","'101303031602",9,0.136,9,0.136,9,0.136,65.948
"'101303031602","Little Oak Creek","'101303031603",17,0.273,17,0.273,17,0.273,62.248
"'101303031603","Town of Little Eagle-Grand River","'101303031605",14,0.243,14,0.243,14,0.243,57.58
"'101303031604","Elk Butte","'101303031605",31,0.313,31,0.313,31,0.313,99.089
"'101303031605","Runaround Butte-Grand River","'101301021501",8,0.121,8,0.121,8,0.121,66.371
"'101303040101","Gustave Butte-South Fork Moreau River","'101303040102",5,0.07,5,0.07,5,0.07,71.143
"'111203030202","Lower Little Elk Creek","'111203030203",474,3.58,783,5.915,783,5.915,132.385
"'101303040103","Cady Creek","'101303040105",4,0.065,4,0.065,4,0.065,61.451
"'020502060501","Porter Creek-Hoagland Branch","'020502060502",378,6.331,378,6.331,378,6.331,59.709
"'101303040104","Ash Coulee","'101303040105",7,0.082,7,0.082,7,0.082,85.22
"'101303040106","Alkali Creek","'101303040108",0,0,0,0,0,0,84.716
"'101303040107","Spur Creek","'101303040108",0,0,0,0,0,0,64.543
"'111001010901","Adobe Draw","'111001010902",23,0.233,23,0.233,23,0.233,98.814
"'020502060101","Second Fork Larrys Creek","'020502060103",199,3.08,199,3.08,199,3.08,64.619
"'111302080306","Cotton Creek-Cow Creek","'111302080307",76,1.268,76,1.268,76,1.268,59.917
